Date,Open
19-Aug-93,3604.86
18-Aug-93,3586.98
17-Aug-93,3579.15
16-Aug-93,3569.65
13-Aug-93,3569.09
12-Aug-93,3583.35
11-Aug-93,3572.73
10-Aug-93,3576.08
9-Aug-93,3560.43
6-Aug-93,3548.97
5-Aug-93,3552.05
4-Aug-93,3561.27
3-Aug-93,3560.99
2-Aug-93,3539.47
30-Jul-93,3567.42
29-Jul-93,3553.45
28-Jul-93,3565.46
27-Jul-93,3567.70
26-Jul-93,3546.74
23-Jul-93,3525.22
22-Jul-93,3555.40
21-Jul-93,3544.78
20-Jul-93,3535.28
19-Jul-93,3528.29
16-Jul-93,3550.93
15-Jul-93,3542.55
14-Jul-93,3515.44
13-Jul-93,3524.38
12-Jul-93,3521.06
9-Jul-93,3514.42
8-Jul-93,3475.67
7-Jul-93,3449.93
6-Jul-93,3483.97
2-Jul-93,3510.54
1-Jul-93,3516.08
30-Jun-93,3518.85
29-Jun-93,3530.20
28-Jun-93,3490.89
25-Jun-93,3490.61
24-Jun-93,3466.81
23-Jun-93,3497.53
22-Jun-93,3510.82
21-Jun-93,3494.77
18-Jun-93,3521.89
17-Jun-93,3511.65
16-Jun-93,3492.00
15-Jun-93,3514.69
14-Jun-93,3505.01
11-Jun-93,3491.72
10-Jun-93,3511.93
9-Jun-93,3510.54
8-Jun-93,3532.13
7-Jun-93,3545.14
4-Jun-93,3544.87
3-Jun-93,3553.45
2-Jun-93,3552.34
1-Jun-93,3527.43
28-May-93,3554.83
27-May-93,3540.16
26-May-93,3516.63
25-May-93,3507.78
24-May-93,3492.83
21-May-93,3523.28
20-May-93,3500.03
19-May-93,3444.39
18-May-93,3449.93
17-May-93,3443.01
14-May-93,3447.99
13-May-93,3482.31
12-May-93,3468.75
11-May-93,3443.28
10-May-93,3437.19
7-May-93,3441.90
6-May-93,3449.10
5-May-93,3446.19
4-May-93,3446.46
3-May-93,3427.55
30-Apr-93,3425.12
29-Apr-93,3413.50
28-Apr-93,3415.93
27-Apr-93,3398.37
26-Apr-93,3413.77
23-Apr-93,3429.17
22-Apr-93,3439.44
21-Apr-93,3443.49
20-Apr-93,3466.99
19-Apr-93,3478.61
16-Apr-93,3455.92
15-Apr-93,3455.64
14-Apr-93,3444.03
13-Apr-93,3428.09
12-Apr-93,3396.48
8-Apr-93,3397.02
7-Apr-93,3377.57
6-Apr-93,3379.19
5-Apr-93,3370.81
2-Apr-93,3439.44
1-Apr-93,3435.11
31-Mar-93,3457.27
30-Mar-93,3455.10
29-Mar-93,3439.98
26-Mar-93,3461.32
25-Mar-93,3445.38
24-Mar-93,3461.86
23-Mar-93,3463.48
22-Mar-93,3471.58
19-Mar-93,3465.64
18-Mar-93,3427.01
17-Mar-93,3442.95
16-Mar-93,3442.41
15-Mar-93,3427.82
12-Mar-93,3447.81
11-Mar-93,3478.34
10-Mar-93,3472.12
9-Mar-93,3469.42
8-Mar-93,3404.58
5-Mar-93,3398.91
4-Mar-93,3404.04
3-Mar-93,3400.53
2-Mar-93,3355.41
1-Mar-93,3370.81
26-Feb-93,3365.14
25-Feb-93,3356.50
24-Feb-93,3323.27
23-Feb-93,3342.99
